impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,location_for_map,Memo
K17-103806,A542208,Regional Animal Services of King County,FOUND,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1781418,In Public Home,,Cat,,,Domestic Longhair,White / Unknown,10/10/2017 12:00:00 AM,Date Found,96TH AVE NE AND NE 28TH ST,,,,JURISDICTION,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1781418,Image Copyright HLP Inc. 2017,"96TH AVE NE AND NE 28TH ST
",
K17-103558,A541114,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1778704,LOST,Neko,Cat,,Male,Domestic Shorthair,Unknown,09/29/2017 12:00:00 AM,Date Lost,WALLINGFORD AVE N NEAR 150TH ST,,,,JURISDICTION,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1778704,Image Copyright HLP Inc. 2017,"WALLINGFORD AVE N NEAR 150TH ST
",
K17-104020,A543155,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1783927,LOST,Trixie,Dog,,Female,Jack Russell Terrier,Unknown,10/18/2017 12:00:00 AM,Date Lost,THOMAS RD,,,,JURISDICTION,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1783927,Image Copyright HLP Inc. 2017,"THOMAS RD
",
K17-103994,A543033,Regional Animal Services of King County,FOUND,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1783390,In Public Home,,Dog,,Female,Yorkshire Terrier,Brown / Black,10/18/2017 12:00:00 AM,Date Found,10000 MEYDENBAUER WAY SE,APT,,,JURISDICTION,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1783390,Image Copyright HLP Inc. 2017,"10000 MEYDENBAUER WAY SE
APT
",
K17-104418,A544774,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1788841,LOST,Kitty,Cat,,Female,Manx,Unknown,10/31/2017 12:00:00 AM,Date Lost,76TH AVE SE,,,,JURISDICTION,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1788841,Image Copyright HLP Inc. 2017,"76TH AVE SE
",
K17-096407,A519032,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1664704,LOST,,Dog,,Male,Beagle,Unknown,01/21/2017 12:00:00 AM,Date Lost,11000 ROSEBERG AVE S,BURIEN,WA,98168,BURIEN,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1664704,Image Copyright HLP Inc. 2017,"11000 ROSEBERG AVE S
BURIEN, WA 98168
",
K17-103309,A539944,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1775733,LOST,Captain,Dog,,Male,Siberian Husky,Unknown,09/26/2017 12:00:00 AM,Date Lost,AVIGNON TOWNHOMES. NE 99TH WAY,,,,JURISDICTION,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1775733,Image Copyright HLP Inc. 2017,"AVIGNON TOWNHOMES. NE 99TH WAY
",
K17-103962,A542906,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1783211,LOST,Gizmo,Cat,,Male,Domestic Shorthair,Unknown,10/14/2017 12:00:00 AM,Date Lost,6700 24TH ST NE,TACOMA,WA,98422,PIERCE COUNTY,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1783211,Image Copyright HLP Inc. 2017,"6700 24TH ST NE
TACOMA, WA 98422
",
K17-104362,A544414,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1788143,LOST,,Cat,,Male,Domestic Mediumhair,Unknown,10/28/2017 12:00:00 AM,Date Lost,,,,14152,JURISDICTION,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1788143,Image Copyright HLP Inc. 2017,"14152
",
K17-103732,A541862,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1780333,LOST,Rosie,Dog,,Female,Beagle,Unknown,10/09/2017 12:00:00 AM,Date Lost,GRANDVIEW DOG PARK,,,,JURISDICTION,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1780333,Image Copyright HLP Inc. 2017,"GRANDVIEW DOG PARK
",
K17-103306,A539941,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1775702,LOST,Ozzie,Dog,,Male,Cavalier King Charles Spaniel,Unknown,09/27/2017 12:00:00 AM,Date Lost,12100 NE 134TH ST,KIRKLAND,WA,98034,KIRKLAND,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1775702,Image Copyright HLP Inc. 2017,"12100 NE 134TH ST
KIRKLAND, WA 98034
",
K17-104193,A543844,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1786346,LOST,Charlie,Cat,,Male,American Shorthair,Unknown,10/03/2017 12:00:00 AM,Date Lost,LAUREL STREET NEAR REITEN,,,,JURISDICTION,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1786346,Image Copyright HLP Inc. 2017,"LAUREL STREET NEAR REITEN
",
K17-103457,A540735,Regional Animal Services of King County,FOUND,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1777595,In Public Home,,Dog,,Female,American Bulldog,Brown / White,10/01/2017 12:00:00 AM,Date Found,216TH ST AND WITTE ROAD,,,,JURISDICTION,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1777595,Image Copyright HLP Inc. 2017,"216TH ST AND WITTE ROAD
",
K17-103301,A539881,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1775614,LOST,Starbuck,Dog,,Male,Maltese,Unknown,09/26/2017 12:00:00 AM,Date Lost,13672 FAGERUD RD SE,,,,JURISDICTION,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1775614,Image Copyright HLP Inc. 2017,"13672 FAGERUD RD SE
",
K17-104449,A544873,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1789080,LOST,Junebug,Cat,,Female,Domestic Shorthair,Unknown,11/01/2017 12:00:00 AM,Date Lost,240TH ST SE,,,,JURISDICTION,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1789080,Image Copyright HLP Inc. 2017,"240TH ST SE
",
K17-103938,A542786,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1782824,LOST,Bobble,Cat,,Female,Domestic Shorthair,Unknown,10/12/2017 12:00:00 AM,Date Lost,PENDLETON AND NORTH 12TH ST,,,,JURISDICTION,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1782824,Image Copyright HLP Inc. 2017,"PENDLETON AND NORTH 12TH ST
",
K17-103765,A541994,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1780776,LOST,Charlie,Cat,,Male,Domestic Shorthair,Unknown,10/04/2017 12:00:00 AM,Date Lost,1000 E LAUREL ST,KENT,WA,98030,KENT,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1780776,Image Copyright HLP Inc. 2017,"1000 E LAUREL ST
KENT, WA 98030
",
K17-104105,A543280,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1784895,LOST,Simba,Cat,,Male,American Shorthair,Unknown,10/15/2017 12:00:00 AM,Date Lost,15900 19TH AVE SW,BURIEN,WA,98166,BURIEN,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1784895,Image Copyright HLP Inc. 2017,"15900 19TH AVE SW
BURIEN, WA 98166
",
K17-103733,A541863,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1780334,LOST,Fox,Cat,,Male,Domestic Shorthair,Unknown,10/08/2017 12:00:00 AM,Date Lost,900 108TH AVE NE,BELLEVUE,WA,98004,BELLEVUE,47.618875,-122.195944,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1780334,Image Copyright HLP Inc. 2017,"900 108TH AVE NE
BELLEVUE, WA 98004
(47.618875, -122.195944)",
K17-104034,A543185,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1784046,LOST,Bear,Dog,,Male,German Shepherd,Unknown,10/19/2017 12:00:00 AM,Date Lost,400 SUMMIT AVE N,KENT,WA,98030,KENT,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1784046,Image Copyright HLP Inc. 2017,"400 SUMMIT AVE N
KENT, WA 98030
",
K17-103887,A542553,Regional Animal Services of King County,FOUND,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1782183,In Public Home,,Dog,,Female,Chihuahua - Smooth Coated,Unknown,10/12/2017 12:00:00 AM,Date Found,,,,,JURISDICTION,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1782183,Image Copyright HLP Inc. 2017,,
K17-104154,A543669,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1785915,LOST,Ava,Dog,,Female,French Bulldog,Unknown,10/23/2017 12:00:00 AM,Date Lost,12100 NE 150TH ST,KIRKLAND,WA,98034,KIRKLAND,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1785915,Image Copyright HLP Inc. 2017,"12100 NE 150TH ST
KIRKLAND, WA 98034
",
K17-103714,A541805,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1780183,LOST,Merlin,Cat,,Male,Maine Coon,Unknown,10/03/2017 12:00:00 AM,Date Lost,N 6TH AND CUSHMAN ST.,,,,JURISDICTION,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1780183,Image Copyright HLP Inc. 2017,"N 6TH AND CUSHMAN ST.
",
K17-103677,A541534,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1779576,LOST,Lola,Dog,,Female,Labrador Retriever,Unknown,10/07/2017 12:00:00 AM,Date Lost,3300 S 249TH PL,KENT,WA,98032,KENT,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1779576,Image Copyright HLP Inc. 2017,"3300 S 249TH PL
KENT, WA 98032
",
K17-104479,A545107,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1789712,LOST,Zoe,Dog,,Female,Labrador Retriever,Unknown,11/01/2017 12:00:00 AM,Date Lost,31900 176TH AVE SE,AUBURN,WA,98092,KING COUNTY,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1789712,Image Copyright HLP Inc. 2017,"31900 176TH AVE SE
AUBURN, WA 98092
",
K17-104055,A543249,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1784456,LOST,Tidbit,Dog,,Male,Chihuahua - Smooth Coated,Unknown,10/19/2017 12:00:00 AM,Date Lost,200 3RD AVE S,EDMONDS,WA,98020,SNOHOMISH COUNT,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1784456,Image Copyright HLP Inc. 2017,"200 3RD AVE S
EDMONDS, WA 98020
",
K17-104450,A544874,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1789081,LOST,Junebug,Cat,,Female,Domestic Shorthair,Unknown,11/01/2017 12:00:00 AM,Date Lost,16600 SE 240TH ST,KENT,WA,98042,KING COUNTY,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1789081,Image Copyright HLP Inc. 2017,"16600 SE 240TH ST
KENT, WA 98042
",
K17-103877,A542542,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1782030,LOST,Ranica,Cat,,Female,Domestic Mediumhair,Unknown,10/06/2017 12:00:00 AM,Date Lost,HIGHWAY 2,,,,JURISDICTION,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1782030,Image Copyright HLP Inc. 2017,"HIGHWAY 2
",
K17-104127,A543478,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1785452,LOST,Staxxi,Dog,,Female,Yorkshire Terrier,Unknown,10/21/2017 12:00:00 AM,Date Lost,1400 CENTRAL AVE S,KENT,WA,98032,KENT,47.366619,-122.231455,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1785452,Image Copyright HLP Inc. 2017,"1400 CENTRAL AVE S
KENT, WA 98032
(47.366619, -122.231455)",
K17-103377,A540353,Regional Animal Services of King County,FOUND,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1776780,In Public Home,,Dog,,Female,Labrador Retriever,Unknown,09/29/2017 12:00:00 AM,Date Found,2200 239TH PL SE,SAMMAMISH,WA,98075,SAMMAMISH,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1776780,Image Copyright HLP Inc. 2017,"2200 239TH PL SE
SAMMAMISH, WA 98075
",
K17-103389,A540367,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1776969,LOST,Hadji,Cat,,Male,Pixiebob Longhair,Unknown,09/29/2017 12:00:00 AM,Date Lost,6900 OAKMONT AVE SE,SNOQUALMIE,WA,98065,SNOQUALMIE,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1776969,Image Copyright HLP Inc. 2017,"6900 OAKMONT AVE SE
SNOQUALMIE, WA 98065
",
K17-103876,A542541,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1782025,LOST,Loki,Cat,,Male,Domestic Mediumhair,Unknown,10/06/2017 12:00:00 AM,Date Lost,HIGHWAY 2 NEAR GROTTO/SKYKOMISH,,,,JURISDICTION,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1782025,Image Copyright HLP Inc. 2017,"HIGHWAY 2 NEAR GROTTO/SKYKOMISH
",
K17-104036,A543190,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1784124,LOST,Ellie,Cat,,Female,Domestic Shorthair,Unknown,10/19/2017 12:00:00 AM,Date Lost,1500 NE 88TH ST,SEATTLE,WA,98115,SEATTLE,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1784124,Image Copyright HLP Inc. 2017,"1500 NE 88TH ST
SEATTLE, WA 98115
",
K17-103718,A541839,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1780242,LOST,Igor,Cat,,Female,American Shorthair,Unknown,10/08/2017 12:00:00 AM,Date Lost,161ST AND SE 31ST ST,,,,JURISDICTION,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1780242,Image Copyright HLP Inc. 2017,"161ST AND SE 31ST ST
",
K17-104384,A544491,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1788399,LOST,Murph,Cat,,Male,Manx,Unknown,10/21/2017 12:00:00 AM,Date Lost,29200 218TH PL SE,BLACK DIAMOND,WA,98010,BLACK DIAMOND,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1788399,Image Copyright HLP Inc. 2017,"29200 218TH PL SE
BLACK DIAMOND, WA 98010
",
K17-103796,A542123,Regional Animal Services of King County,FOUND,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1781198,In Public Home,,Dog,,Female,Wire Fox Terrier,White / White,10/10/2017 12:00:00 AM,Date Found,NEAR CASCADE MIDDLE SCHOOL,,,,JURISDICTION,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1781198,Image Copyright HLP Inc. 2017,"NEAR CASCADE MIDDLE SCHOOL
",
K17-104001,A543067,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1783477,LOST,Chuck,Cat,,Female,Domestic Longhair,Unknown,10/15/2017 12:00:00 AM,Date Lost,5700 1ST AVE NE,SEATTLE,WA,98105,SEATTLE,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1783477,Image Copyright HLP Inc. 2017,"5700 1ST AVE NE
SEATTLE, WA 98105
",
K17-104218,A543941,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1786557,LOST,Baxter,Cat,,Male,Domestic Shorthair,Unknown,10/24/2017 12:00:00 AM,Date Lost,4500 S 136TH ST,TUKWILA,WA,98168,TUKWILA,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1786557,Image Copyright HLP Inc. 2017,"4500 S 136TH ST
TUKWILA, WA 98168
",
K17-103443,A540619,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1777434,LOST,Django,Cat,,Male,American Shorthair,Unknown,09/29/2017 12:00:00 AM,Date Lost,17600 NE 160TH PL,WOODINVILLE,WA,98072,KING COUNTY,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1777434,Image Copyright HLP Inc. 2017,"17600 NE 160TH PL
WOODINVILLE, WA 98072
",
K17-103298,A539878,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1775490,LOST,"Earl, Lucy",Goat/sheep,,,Goat/sheep,Unknown,09/25/2017 12:00:00 AM,Date Lost,17600 SE LAKE MONEYSMITH RD,AUBURN,WA,98092,KING COUNTY,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1775490,Image Copyright HLP Inc. 2017,"17600 SE LAKE MONEYSMITH RD
AUBURN, WA 98092
",
K17-103637,A541503,Regional Animal Services of King County,FOUND,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1779457,In Public Home,,Cat,,Male,Domestic Mediumhair,Unknown,10/06/2017 12:00:00 AM,Date Found,GROUP HEATH,KAISER PERMANENTE RENT,,,JURISDICTION,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1779457,Image Copyright HLP Inc. 2017,"GROUP HEATH
KAISER PERMANENTE RENT
",
K17-103723,A541856,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1780293,LOST,Bing,Cat,,Male,Domestic Shorthair,Unknown,10/06/2017 12:00:00 AM,Date Lost,6900 93RD AVE SE,MERCER ISLAND,WA,98040,MERCER ISLAND,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1780293,Image Copyright HLP Inc. 2017,"6900 93RD AVE SE
MERCER ISLAND, WA 98040
",
K17-104133,A543495,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1785520,LOST,Sayde,Cat,,Female,Savannah,Unknown,10/22/2017 12:00:00 AM,Date Lost,1500 NE 166TH ST,SHORELINE,WA,98155,SHORELINE,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1785520,Image Copyright HLP Inc. 2017,"1500 NE 166TH ST
SHORELINE, WA 98155
",
K17-104217,A543940,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1786545,LOST,Bruce,Cat,,Male,Domestic Shorthair,Unknown,10/15/2017 12:00:00 AM,Date Lost,3822 SW 336 ST.,,,,JURISDICTION,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1786545,Image Copyright HLP Inc. 2017,"3822 SW 336 ST.
",
K17-104323,A544232,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1787626,LOST,Lacey,Dog,,Female,Miniature Schnauzer,Unknown,10/28/2017 12:00:00 AM,Date Lost,14500 SE 167TH ST,RENTON,WA,98058,KING COUNTY,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1787626,Image Copyright HLP Inc. 2017,"14500 SE 167TH ST
RENTON, WA 98058
",
K17-103997,A543056,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1783432,LOST,Gomez,Cat,,Male,Domestic Shorthair,Unknown,10/16/2017 12:00:00 AM,Date Lost,1800 N 183RD ST,SHORELINE,WA,98133,SHORELINE,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1783432,Image Copyright HLP Inc. 2017,"1800 N 183RD ST
SHORELINE, WA 98133
",
K17-104031,A543182,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1783999,LOST,Chance,Cat,,Male,Domestic Shorthair,Unknown,10/13/2017 12:00:00 AM,Date Lost,14400 SE 40TH ST,BELLEVUE,WA,98006,BELLEVUE,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1783999,Image Copyright HLP Inc. 2017,"14400 SE 40TH ST
BELLEVUE, WA 98006
",
K17-103327,A539997,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1776019,LOST,Mimosa,Cat,,Female,Domestic Mediumhair,Unknown,09/26/2017 12:00:00 AM,Date Lost,,E LK SAMMAMISH PK,,,SAMMAMISH,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1776019,Image Copyright HLP Inc. 2017,"E LK SAMMAMISH PK
",
K17-104491,A545142,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1789958,LOST,Dobby,Dog,,Male,Beagle,Unknown,11/03/2017 12:00:00 AM,Date Lost,43500 SE CEDAR FALLS WAY,NORTH BEND,WA,98045,KING COUNTY,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1789958,Image Copyright HLP Inc. 2017,"43500 SE CEDAR FALLS WAY
NORTH BEND, WA 98045
",
K17-104546,A545486,Regional Animal Services of King County,FOUND,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1790729,In Public Home,,Dog,,Female,English Pointer,Brown,11/06/2017 12:00:00 AM,Date Found,33900 186TH AVE SE,AUBURN,WA,98092,KING COUNTY,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1790729,Image Copyright HLP Inc. 2017,"33900 186TH AVE SE
AUBURN, WA 98092
",
K17-103569,A541178,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1778815,LOST,,Dog,,Male,Jack Russell Terrier,Unknown,10/04/2017 12:00:00 AM,Date Lost,15200 SE 300TH ST,KENT,WA,98042,KING COUNTY,47.333742,-122.14085,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1778815,Image Copyright HLP Inc. 2017,"15200 SE 300TH ST
KENT, WA 98042
(47.333742, -122.14085)",
K17-104451,A544875,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1789095,LOST,Talos,Cat,,Male,Domestic Shorthair,Unknown,10/28/2017 12:00:00 AM,Date Lost,22600 NE INGLEWOOD HILL RD,AP,,,JURISDICTION,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1789095,Image Copyright HLP Inc. 2017,"22600 NE INGLEWOOD HILL RD
AP
",
